,Unnamed: 0,Date,region,type,4046,4225,4770,year,TotalVolume,Price,Prop,month
1159,15900,2017-02-12,LasVegas,organic,2228.74,5528.66,2.66,2017,21977.83,1.18,0.0512490256943402,2
1062,15803,2017-12-17,Jacksonville,organic,48.7,519.43,2.5,2017,2498.65,1.61,0.013932013957606905,12
176,14917,2017-09-03,Boise,organic,110.15,617.9,0.0,2017,1855.43,2.71,0.02802337650097997,9
3222,17963,2018-03-11,NorthernNewEngland,organic,3.0,342.18,0.0,2018,18202.54,1.64,0.02321903859780872,3
3061,17802,2018-01-21,HarrisburgScranton,organic,225.43,166.81,19.2,2018,15829.03,1.59,0.04381545923505037,1
2671,17412,2017-08-06,Tampa,organic,31.97,64.92,0.0,2017,3054.66,1.6,0.009676038676026066,8
484,15225,2017-11-12,CincinnatiDayton,organic,203.73,3368.13,0.0,2017,12271.52,1.67,0.03640303965404845,11
191,14932,2017-05-21,Boise,organic,15.84,659.85,0.0,2017,3897.02,1.27,0.04309436046229387,5
301,15042,2017-04-23,BuffaloRochester,organic,7.26,384.65,0.0,2017,5924.92,2.14,0.03868220957331359,4
3408,18149,2018-01-28,SouthCentral,organic,29301.71,4418.91,0.0,2018,137453.79,1.42,0.018963603740188902,1
3009,17750,2018-02-18,Denver,organic,8065.46,597.63,49.7,2018,36683.22,1.35,0.046989826071307535,2
1974,16715,2017-10-01,RaleighGreensboro,organic,140.46,4331.2,147.11,2017,10741.93,3.0,0.04121005194219074,10
989,15730,2017-04-30,Houston,organic,9703.57,38.49,0.0,2017,28118.39,1.18,0.015112792470306837,4
1009,15750,2017-12-17,Indianapolis,organic,203.03,1370.79,0.0,2017,8332.81,1.38,0.05471011807031767,12
1884,16625,2017-06-11,Plains,organic,7271.57,21569.39,118.23,2017,71995.22,1.63,0.032837295635780195,6
697,15438,2017-11-05,Detroit,organic,518.9,2512.04,0.0,2017,17353.24,1.58,0.03908416788540703,11
2586,17327,2017-03-12,StLouis,organic,840.11,599.7,0.0,2017,10550.08,1.16,0.09296037970546678,3
3056,17797,2018-02-25,HarrisburgScranton,organic,330.05,369.57,5.01,2018,18414.33,1.42,0.0613668199409998,2
790,15531,2017-01-29,GrandRapids,organic,47.74,1079.73,0.0,2017,1626.47,1.67,0.009574303825194752,1
3368,18109,2018-02-25,SanFrancisco,organic,9731.2,11686.51,0.0,2018,24475.48,2.11,0.02426977881993597,2
